protocol;dtprotocol;number;year
7050;15/12/2015;590;2015
7072;15/12/2015;593;2015
7085;15/12/2015;595;2015
7086;15/12/2015;596;2015
7087;15/12/2015;597;2015
151;2/2/2016;12/99;2016
182;2/2/2016;12/99;2016
183;2/2/2016;12/99;2016
186;2/2/2016;12/99;2016
187;2/2/2016;12/99;2016
192;2/2/2016;12/99;2016
206;2/2/2016;12/99;2016
207;2/2/2016;12/99;2016
391;16/2/2016;33;2016
398;16/2/2016;25;2016
550;23/2/2016;35;2016
562;23/2/2016;36;2016
605;23/2/2016;45;2016
652;1/3/2016;60;2016
653;1/3/2016;46;2016
660;1/3/2016;47;2016
661;1/3/2016;48;2016
670;1/3/2016;49;2016
682;1/3/2016;52;2016
735;1/3/2016;59;2016
840;8/3/2016;64;2016
981;15/3/2016;71;2016
1088;22/3/2016;78;2016
1095;22/3/2016;79;2016
1096;22/3/2016;80;2016
1115;22/3/2016;83;2016
1119;22/3/2016;84;2016
1259;29/3/2016;98;2016
1391;5/4/2016;111;2016
1400;5/4/2016;112;2016
1553;12/4/2016;124;2016
1643;19/4/2016;133;2016
1691;19/4/2016;136;2016
1709;19/4/2016;141;2016
1800;26/4/2016;145;2016
1914;3/5/2016;153;2016
1925;3/5/2016;154;2016
1966;3/5/2016;159;2016
2190;17/5/2016;;2016
2201;17/5/2016;178;2016
2344;24/5/2016;195;2016
2385;24/5/2016;202;2016
2386;24/5/2016;203;2016
2452;31/5/2016;204;2016
2458;31/5/2016;205;2016
2475;31/5/2016;208;2016
2478;31/5/2016;210;2016
2712;7/6/2016;226;2016
2713;7/6/2016;227;2016
2804;14/6/2016;229;2016
2826;14/6/2016;230;2016
2942;21/6/2016;245;2016
2970;21/6/2016;247;2016
2971;21/6/2016;248;2016
3255;5/7/2016;1275;2016
3258;5/7/2016;276;2016
3259;5/7/2016;277;2016
3502;26/7/2016;289;2016
3535;26/7/2016;295;2016
3558;26/7/2016;300;2016
3635;2/8/2016;301;2016
3768;9/8/2016;313;2016
3804;9/8/2016;321;2016
3889;16/8/2016;322;2016
3890;16/8/2016;323;2016
3978;23/8/2016;334;2016
3996;23/8/2016;335;2016
4044;23/8/2016;343;2016
4217;6/9/2016;348;2016
4235;6/9/2016;349;2016
4347;13/9/2016;358;2016
4525;27/9/2016;369;2016
4719;18/10/2016;380;2016
4897;25/10/2016;393;2016
4920;25/10/2016;394;2016
5084;11/11/2016;401;2016
5134;11/11/2016;405;2016
5135;11/11/2016;406;2016
5136;11/11/2016;407;2016
5749;6/12/2016;429;2016
5854;13/12/2016;431;2016
5865;13/12/2016;432;2016
5984;22/12/2016;2736;2016
162;7/2/2017;12/99;2017
163;7/2/2017;12/99;2017
164;7/2/2017;12/99;2017
165;7/2/2017;12/99;2017
166;7/2/2017;12/99;2017
173;7/2/2017;12/99;2017
188;7/2/2017;12/99;2017
189;7/2/2017;12/99;2017
225;7/2/2017;12/99;2017
234;7/2/2017;13;2017
319;14/2/2017;16;2017
342;14/2/2017;20;2017
389;14/2/2017;23;2017
562;21/2/2017;27;2017
670;24/2/2017;36;2017
696;24/2/2017;39;2017
906;7/3/2017;56;2017
1051;14/3/2017;63;2017
1458;28/3/2017;80;2017
1487;28/3/2017;81;2017
1488;28/3/2017;82;2017
1639;4/4/2017;94;2017
1640;4/4/2017;95;2017
1641;4/4/2017;96;2017
1786;11/4/2017;99;2017
1945;18/4/2017;108;2017
1949;18/4/2017;109;2017
2530;16/5/2017;129;2017
3176;13/6/2017;157;2017
3180;13/6/2017;159;2017
3272;20/6/2017;165;2017
3288;20/6/2017;167;2017
3289;20/6/2017;168;2017
3290;20/6/2017;169;2017
3291;20/6/2017;170;2017
3302;20/6/2017;174;2017
3303;20/6/2017;175;2017
3315;20/6/2017;176;2017
3316;20/6/2017;177;2017
3443;27/6/2017;180;2017
3453;27/6/2017;183;2017
3583;4/7/2017;188;2017
3616;4/7/2017;191;2017
3617;4/7/2017;192;2017
3625;4/7/2017;193;2017
3626;4/7/2017;194;2017
3627;4/7/2017;195;2017
